step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5902437794934798,0.14897781270738528
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5895619031408149,0.1545051786151038
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5888808145226022,0.15439808378616482
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882005127288152,0.1542910631897046
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5875209968504788,0.15418411677426905
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5868422659796676,0.15407724448843985
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861643192095055,0.15397044628083426
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585487155634164,0.15386372210010515
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5848107743488609,0.153757071894941
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5841351744498592,0.15365049561406588
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834603550344661,0.15354399320623935
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827863152010317,0.15343756462025654
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5821130540489475,0.15333120980494802
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814405706786456,0.1532249287091799
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5807688641915971,0.15311872128185364
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5800979336903115,0.1530125874719062
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794277782783347,0.15290652722830986
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5787583970602485,0.15280054050007236
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578089789141669,0.1526946272362367
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953073120536159,0.15258878738588125
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5946195860787548,0.15248302089811966
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5939326545960945,0.15237732772210086
54,0.0,0.0,0.0,0.0,0.0,0.025242674957659115,0.0,0.6491060266238353,0.198112005896608
55,0.0,0.0,0.0,0.0,0.0,0.02407621569254628,0.0,0.6483561499367707,0.1979746851182857
56,0.0,0.0,0.0,0.0,0.0,0.02296365829082351,0.0,0.6880609870624855,0.19783745952347373
57,0.0,0.0,0.0,0.0,0.0,0.021902511957515088,0.0,0.6872661078404261,0.1977003290461959
58,0.0,0.0,0.0,0.0,0.0,0.08819028832889868,0.0,0.709695341662794,0.20389296155355238
59,0.0,0.0,0.0,0.0,0.0,0.08411503168170237,0.0,0.7088754694542438,0.20375163372211552
60,0.0,0.0,0.0,0.0,0.0,0.08022809187817687,0.0,0.70805654439921,0.20361040385166657
61,0.0,0.0,0.0,0.0,0.0,0.19965679097122685,0.0,0.7072385654034977,0.2034692718743041
62,0.0,0.0,0.0,0.0,0.0,0.19043068818847003,0.0,0.7064215313741765,0.20332823772217387
63,0.0,0.0,0.0,0.0,0.0,0.43307826192887533,0.0,0.7056054412195785,0.20318730132746854
