step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6877840006479704,0.43049608671182893
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015419686667169,0.4385599289365487
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015419686667169,0.4385599289365487
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015419686667169,0.4385599289365487
54,0.0,0.0,0.0,0.0,0.0,0.1108088125837403,0.0,0.8174079472487806,0.4719519874106409
55,0.0,0.0,0.0,0.0,0.0,0.1108088125837403,0.0,0.8174079472487806,0.4719519874106409
56,0.0,0.0,0.0,0.0,0.0,0.1108088125837403,0.0,0.8821181346463871,0.5102353857766082
57,0.0,0.0,0.0,0.0,0.0,0.1108088125837403,0.0,0.8821181346463871,0.5102353857766082
58,0.0,0.0,0.0,0.0,0.0,0.8984023208948502,0.1844765956612068,0.8821181346463871,0.517138787506443
59,0.0,0.0,0.0,0.0,0.0,0.8984023208948502,0.1844765956612068,0.8821181346463871,0.517138787506443
60,0.0,0.0,0.0,0.0,0.0,0.8984023208948502,0.1844765956612068,0.8821181346463871,0.517138787506443
61,0.0,0.0,0.0,0.0,0.0,1.4590498580673932,0.1844765956612068,0.8821181346463871,0.517138787506443
62,0.0,0.0,0.0,0.0,0.0,1.4590498580673932,0.1844765956612068,0.8821181346463871,0.517138787506443
